"StudentID","Studentname","number","country","bloodGroup","course","bookID","book","genre","author","Bookprice","Discount"
"27421","Michael","321.872.6067","Tuvalu","A-","Associate Degree in Criminology","873865","Death Be Not Proud","Textbook","Kris Considine","2123","28"
"63610","Prince","1-407-086-9423","Equatorial Guinea","O+","Bachelor of Nursing","037780","The Cricket on the Hearth","Fiction narrative","Ta Aufderhar","7172","27"
"33501","Josephina","278.029.0854","Austria","B+","Associate Degree in Health Science","649771","The Wings of the Dove","Reference book","Keri Flatley IV","2048","32"
"58161","Loriann","623.743.3767","Norway","O-","Master of Business","928505","An Instant In The Wind","Mythology","Toby Botsford","8620","30"
"60775","Irwin","(068) 067-9295","Luxembourg","B+","Associate Degree in Teaching","374301","Such, Such Were the Joys","Fairy tale","Mr. Murray Lehner","0897","97"
"83527","Bob","115.571.4430","United Arab Emirates","O-","Master of Medicine","632378","All the King's Men","Horror","Waldo Lockman","1439","12"
"81970","Sandee","1-667-200-6279","Maldives","B+","Master of Biological Science","000556","Antic Hay","Fantasy","Michael Leuschke","1862","71"
"17938","Jarod","1-146-941-9205","Lesotho","B-","Master of Arts","121849","Rosemary Sutcliff","Suspense/Thriller","Luciano Stamm","3440","52"
"85365","Adelaida","099.068.1206","Venezuela (Bolivarian Republic of)","AB+","Associate Degree in Biological Science","061282","The Painted Veil","Comic/Graphic Novel","Dayle Purdy","2889","57"
"50007","Rayna","(573) 898-5220","Yemen","O-","Bachelor of Law","825621","The Millstone","Realistic fiction","Mr. Isiah Monahan","4575","18"
"77299","Rosenda","(121) 268-3639","Ireland","AB-","Bachelor of Information Systems","560778","The Curious Incident of the Dog in the Night-Time","Fairy tale","Miss Brittany Jast","9660","60"
"03639","Adela","546-412-7390","Seychelles","A+","Associate Degree in Engineering","141882","The Monkey's Raincoat","Fiction narrative","Solomon Schimmel","3446","94"
"34756","Douglass","(819) 692-6211","Comoros","B+","Master of Commerce","373935","Look Homeward, Angel","Mystery","Dr. Lynn Harris","7036","33"
"47256","Willian","561-172-3270","Thailand","AB-","Master of Education","195762","The Moving Toyshop","Mystery","Eli Rogahn DDS","3775","51"
"07042","Erin","422.187.4301","South Sudan","O+","Bachelor of Teaching","236237","A Scanner Darkly","Biography/Autobiography","Jimmy Gerlach","4757","68"
"65235","Joeann","242-932-9937","Eritrea","A+","Bachelor of Nursing","442259","Vile Bodies","Classic","Earnest Kris","6132","76"
"51303","Mohamed","998-159-4627","Colombia","O+","Associate Degree in Commerce","576267","Look Homeward, Angel","Reference book","James Kunde","5382","14"
